date,change
2008-01-02,-0.016650056314371442
2008-01-03,0.0009782305373521706
2008-01-04,-0.019648119895348835
2008-01-07,0.0021335637467597714
2008-01-08,-0.018586644776179915
2008-01-09,0.011616425994930506
2008-01-10,0.009248302554080007
2008-01-11,-0.01920083030617547
2008-01-14,0.013632072852462688
2008-01-15,-0.02168075973439027
2008-01-16,-0.002795751737245791
2008-01-17,-0.024622658460985637
2008-01-18,-0.004927129311854953
2008-01-22,-0.01058821584719767
2008-01-23,0.024974960718190886
2008-01-24,0.00883769336529164
2008-01-25,-0.013849697179247144
2008-01-28,0.01447673785160683
2008-01-29,0.007785114370363421
2008-01-30,-0.0030023316747193056
2008-01-31,0.01667868161824928
2008-02-01,0.0073381310887595235
2008-02-04,-0.00847746914234196
2008-02-05,-0.02928573915961497
2008-02-06,-0.005302022889280329
2008-02-07,0.0038442307849935356
2008-02-08,-0.005296807381399592
2008-02-11,0.004751221666490262
2008-02-12,0.010898683906303969
2008-02-13,0.01445276605236551
2008-02-14,-0.013962448136746925
2008-02-15,-0.0023244765685975447
2008-02-19,-0.0008900075395542983
2008-02-20,0.0072982406085002035
2008-02-21,-0.011503742578814714
2008-02-22,0.007873464503472007
2008-02-25,0.015281455001284135
2008-02-26,0.009124740855768693
2008-02-27,0.000737884038685351
2008-02-28,-0.00883074896725142
2008-02-29,-0.025098194430535955
2008-03-03,-0.0006106115980333074
2008-03-04,-0.0036789597761626544
2008-03-05,0.0033724148094778457
2008-03-06,-0.017511234199293544
2008-03-07,-0.012183990717908549
2008-03-10,-0.0129093662269658
2008-03-11,0.03549017687167539
2008-03-12,-0.003830774685135304
2008-03-13,0.0029314035064540423
2008-03-14,-0.016026195192717745
2008-03-17,0.0017705497992233222
2008-03-18,0.03511537096201632
2008-03-19,-0.02364302740493163
2008-03-20,0.021625401044326854
2008-03-24,0.01515372144722406
2008-03-25,-0.0012782261663414566
2008-03-26,-0.00875636340424172
2008-03-27,-0.009691810098479855
2008-03-28,-0.006995348897700094
2008-03-31,0.0038055400936445913
2008-04-01,0.03192314372876224
2008-04-02,-0.0035908572223328963
2008-04-03,0.001356975855188278
2008-04-04,-0.0013155362374396846
2008-04-07,0.00023871042442873806
2008-04-08,-0.0028535341722411766
2008-04-09,-0.003910486592390239
2008-04-10,0.004368074103993957
2008-04-11,-0.0203910672247134
2008-04-14,-0.0018952701003292856
2008-04-15,0.004910559694880358
2008-04-16,0.020772547880803845
2008-04-17,9.667754156930989e-05
2008-04-18,0.01813479508323376
2008-04-21,-0.001894257768480309
2008-04-22,-0.008170747492011776
2008-04-23,0.0033796558710023155
2008-04-24,0.00671695700614746
2008-04-25,0.0033395724942504915
2008-04-28,-0.0015598990370668455
2008-04-29,-0.003092819546681647
2008-04-30,-0.0009203596650234734
2008-05-01,0.01481030223562482
2008-05-02,0.0037048424289009016
2008-05-05,-0.006789603467552943
2008-05-06,0.0039546506660991096
2008-05-07,-0.01585766805956299
2008-05-08,0.004091506787312684
2008-05-09,-0.009396290291743657
2008-05-12,0.01023311062084378
2008-05-13,-0.003427224103799862
2008-05-14,0.0051589051899208795
2008-05-15,0.00730944506209312
2008-05-16,-0.00045102388579402385
2008-05-19,0.0031847722302646214
2008-05-20,-0.015311448431704828
2008-05-21,-0.017732923418465482
2008-05-22,0.0019387057888977381
2008-05-23,-0.011562996510270512
2008-05-27,0.005506573512195567
2008-05-28,0.0036403192451597453
2008-05-29,0.004144026971509412
2008-05-30,-0.0006246925958902847
2008-06-02,-0.010642237259382577
2008-06-03,-0.008075132239587529
2008-06-04,-0.0009973514151989905
2008-06-05,0.017268903222474125
2008-06-06,-0.031309577173141326
2008-06-09,0.005774864637533281
2008-06-10,0.0007687096101730663
2008-06-11,-0.016761108434989763
2008-06-12,0.00478410297448557
2008-06-13,0.013653083041910562
2008-06-16,-0.0031095239836358302
2008-06-17,-0.008866190456008165
2008-06-18,-0.010792496895635781
2008-06-19,0.00282898248075915
2008-06-20,-0.018270608940163725
2008-06-23,-2.7865290740526623e-05
2008-06-24,-0.00294958099567994
2008-06-25,0.0003726467148227545
2008-06-26,-0.030343308361193807
2008-06-27,-0.009334329833359805
2008-06-30,0.0003084648936104582
2008-07-01,0.0028414071881874992
2008-07-02,-0.014649990423694416
2008-07-03,0.006511518424039625
2008-07-07,-0.00501216277747182
2008-07-08,0.013555069640561399
2008-07-09,-0.02079810544605191
2008-07-10,0.0073182721772891285
2008-07-11,-0.011441782096745715
2008-07-14,-0.00408538683703679
2008-07-15,-0.008380679119942726
2008-07-16,0.025244149622259054
2008-07-17,0.018451359873586134
2008-07-18,0.00436022385569239
2008-07-21,-0.0025424974579374166
2008-07-22,0.011786517187072142
2008-07-23,0.0025753070458952123
2008-07-24,-0.02433723795130477
2008-07-25,0.0018864632822522534
2008-07-28,-0.02107259981584236
2008-07-29,0.023940174717996778
2008-07-30,0.01633068832276391
2008-07-31,-0.017755136748307324
2008-08-01,-0.004543848578223692
2008-08-04,-0.0037231863482578694
2008-08-05,0.02938812405010575
2008-08-06,0.0034694213125775796
2008-08-07,-0.019272361953900363
2008-08-08,0.02649624762606248
2008-08-11,0.00409312171476495
2008-08-12,-0.011871994975535528
2008-08-13,-0.00940607963774012
2008-08-14,0.007194163510495239
2008-08-15,0.003785318954229179
2008-08-18,-0.015481264847897514
2008-08-19,-0.011397818176749824
2008-08-20,0.00606949786536615
2008-08-21,0.0011193412177695713
2008-08-22,0.017309393265740557
2008-08-25,-0.02079538633271582
2008-08-26,0.0023379075639478144
2008-08-27,0.007854290813791747
